,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Love NBA,,NAB Fanbase,False,2022-10-11 14:53:02+00:00,"Indiana #Pacers reportedly sign wing Deividas Sirvydis to bring roster size to 20, is the team set?
 
https://t.co/uDJYUKHsnO
 
#CentralDivision #EasternConference #IndianaBasketball #IndianaPacers #IndianaPacersPodcast #NBABasketball #PacersBasketball #PacersPodcast https://t.co/yojKnfRL7B",['Pacers'],love.nba
1,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-11 13:48:14+00:00,"JP has been like 🔥🔥

#underarmour #kevindurant #marchmadness #lebronjames #laclippers #kobebryant #kobebryant #spurs #jordan #adidas #ncaa #ote #nike #dukebasketball #dukebasketballcamp #WeAreOne #indianapacers #indianapacers #nbadraft #lakers #SacramentoKings #Nuggets https://t.co/Bai4dTkkW1","['underarmour', 'kevindurant', 'marchmadness', 'lebronjames', 'laclippers', 'kobebryant', 'kobebryant']",Twitter for iPhone
2,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-11 13:47:23+00:00,"Never stop keep working 🗣

#laclippers #underarmour #marchmadness #jordan #nbadraft #adidas #ncaa #indianapacers #Nuggets #kevindurant #lebron #kobe #nbl #acc #ncaabasketball https://t.co/MsfsrAefHo","['laclippers', 'underarmour', 'marchmadness', 'jordan', 'nbadraft', 'adidas', 'ncaa', 'indianapacers']",Twitter for iPhone
3,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 12:22:21+00:00,"NEW VIDEO TO WATCH:

""Indiana Pacers Media Availability | October 10, 2022"" 

Creator:  Indiana Pacers

Brand New NBA Fan Video Platform: https://t.co/2f2wTRNJM6

#NBA #pacers #IndianaPacers

https://t.co/2IVdPHWlIO https://t.co/9gQdf3RmZO",,Blog2Social APP
4,Love NBA,,NAB Fanbase,False,2022-10-11 12:13:02+00:00,"25% off Jermaine O'Neal Indiana Pacers Mitchell &amp; Ness 2003-04 Hardwood Classics Swingman Jerseys at Fanatics (use code CAMP)
 
https://t.co/r5xeDl7ipR
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/ZHXASRLQyI",,love.nba
5,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 09:10:28+00:00,"Aaron Nesmith out with plantar fascia, status unknown for Pacers’ season opener #AaronNesmith #IndianaPacers #RickCarlisle https://t.co/aa5cZU9skk","['AaronNesmith', 'IndianaPacers']",TalkBasket
6,Corey L. Scott,"Indianapolis, IN","Corey L. Scott, is the founder of the Law Office of Corey L. Scott, P.C., a law practice dedicated to providing professional solutions to everyday people.",False,2022-10-11 04:32:42+00:00,Dream come true for this young @Pacers fan.  Awesome!! #indy #IndianaPacers #NBA https://t.co/M3hDWyAN5s,"['indy', 'IndianaPacers', 'NBA']",Twitter for iPhone
7,NBA Epic Moments,,"The brightest, craziest and most memorable moments of the best basketball league in the world. Join us.

YouTube: 
https://t.co/aPuvmKP3yS",False,2022-10-11 01:54:13+00:00,"🤭 Indiana has a wonderful 6th player.
—
The brightest, craziest and most memorable moments of the best basketball league in the world. Join us.
NBA Epic Moments:
https://t.co/C2cRwtaYbc
—
#nba #basketball #shortsbasketball #highlightsnba #indianapacers #pacers https://t.co/kuwuH8WyKJ",,Twitter Web App
8,Love NBA,,NAB Fanbase,False,2022-10-10 21:55:02+00:00,"Turning the PACERS into TITLE contenders! 🏀 #shorts
 
https://t.co/zxaCqAgJ9d
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/WA533TxqaJ","['shorts', 'CentralDivision', 'EasternConference']",love.nba
9,Love NBA,,NAB Fanbase,False,2022-10-10 14:33:02+00:00,"Lakers, Warriors, Pacers Trade!? Myles ...
 
https://t.co/Yx5GrvJ17Q
 
#CentralDivision #DraymondGreen #DraymondGreenLakers #DraymondGreenTrade #EasternConference #IndianaPacers #LakerNation #LakerNews #LakerNewsToday #LakerTrade #LakerTradeRumors #LakersNation #LakersNews https://t.co/DczaETA9bv","['CentralDivision', 'DraymondGreen']",love.nba
10,Love NBA,,NAB Fanbase,False,2022-10-10 12:44:02+00:00,"George &amp; James Duel | #NBATogetherLive Classic Game
 
https://t.co/XIRtyIdif0
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/E7f4pvhxjH","['NBATogetherLive', 'CentralDivision', 'EasternConference']",love.nba
11,Love NBA,,NAB Fanbase,False,2022-10-10 10:42:01+00:00,"What a moment ❤️ This young fan asked if he could check in and ...
 
https://t.co/ZyTiAxuGit
 
#Amazing #Basketball #CentralDivision #EasternConference #ESPN #ESPNNBA #Highlights #IndianaPacers #NBA #NbaEspn #NbaHighlightsToday #NBAOnESPN #Sports #Trending #Unreal #Viral #Wow https://t.co/aGSxv9mdJu","['Amazing', 'Basketball']",love.nba
12,Internet Commentator Database ICDb,UK,Internet Commentator Database,False,2022-10-10 09:16:18+00:00,New York Knicks vs Indiana Pacers was on MSG Network. With commentary from Ed Cohen. Co-commentator is Walt Frazier.  For more details see https://t.co/PZA4usApb7 #NewYorkKnicks #IndianaPacers #MSGNetwork,,ICDB2022
13,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-10 05:21:20+00:00,"WATCH: Young fan crashes Indiana Pacers open scrimmage, scores bucket on a lifetime opportunity #IndianaPacers https://t.co/haiPV3VXMl",['IndianaPacers'],TalkBasket
14,Love NBA,,NAB Fanbase,False,2022-10-10 03:17:02+00:00,"young fan asked if he could check in...so the Pacers let him and he scored wearing Hield’s jersey
 
https://t.co/SRwoNDfI0O
 
#Basketball #CentralDivision #EasternConference #IndianaPacers #NBA https://t.co/DrZdXZG9HV",,love.nba
15,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 23:50:00+00:00,"@cyclonembb Officially Underway. 

 #Cyclones | #C5C #NBA #Nuggets #SacramentoKings #lakers #kobebryant24 #nbafinals #nbadraft #kobebryant #football #football #indianapacers #spurs #laclippers #NuggetsNation https://t.co/cuI01U3qQG","['Cyclones', 'C5C', 'NBA', 'Nuggets', 'SacramentoKings', 'lakers', 'kobebryant24']",Twitter for iPhone
16,Love NBA,,NAB Fanbase,False,2022-10-09 20:00:02+00:00,"Pacers implement new ""Fan Centered Offense"" after watching footage of the top two draft prospects.
 
https://t.co/v1Lp6nbSUt
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/UZdcQfn9Mq",,love.nba
17,Love NBA,,NAB Fanbase,False,2022-10-09 18:00:02+00:00,"Aaron Nesmith sustained a plantar fascia injury in the preseason game at New York. He’s sidelined for now and the hope is for him to be available on opening night, Rick Carlisle said.
 
https://t.co/ebA9bIKm9K
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/8x3tTYGdKY",,love.nba
18,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-09 17:30:00+00:00,"Shop #Pacers  frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/NJtK8TzH5V &lt;&lt; #NBA #NBA75 #NBATwitter #Indiana #IndianaPacers","['Pacers', 'NBA']",Twitter Web App
19,Love NBA,,NAB Fanbase,False,2022-10-09 11:06:02+00:00,"Indiana Pacers Breaking News ft. Myles Turner #shorts
 
https://t.co/OaFVEGHc5t
 
#CentralDivision #EasternConference #In #IndianaPacers #NbaNews https://t.co/XmZLdDx5K6","['shorts', 'CentralDivision']",love.nba
20,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 06:03:29+00:00,"Anticipation is high 😮
First practice complete ✅

#GoFrogs  #NBA #dukebasketballcamp #NuggetsNation #eastcoasthooprecruit #ballislife #indianapacers #kevindurant #SanAntonioSpurs #spurs #Nuggets #laclippers #ote https://t.co/HcW8uxoITS","['GoFrogs', 'NBA', 'dukebasketballcamp', 'NuggetsNation']",Twitter for iPhone
21,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 05:57:30+00:00,"Not shying away from anything or anyone 😤

#terpsnation  #mensbasketball #indianapacers #GrindCity #kuhoops #nbadraft #nba #MileHighBasketball #Wiz50 #connectedbymagic #wizards #kevindurant #laclippers #memphisgrizzlies #letemknow #CUsRise #bostonceltics #Dallas #BeTheFight https://t.co/AOtpj6YLZ5","['terpsnation', 'mensbasketball', 'indianapacers', 'GrindCity', 'kuhoops']",Twitter for iPhone
22,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 05:56:55+00:00,"First officiall Practice ! 💪🏽🙌 

#spurs #GoSpursGo #SanAntonioSpurs #ItsBruinTime #wizards #Wiz50 #DCFamily  #indianapacers #mensbasketball #kuhoops #MileHighBasketball #Nuggets #GrindCity #connectedbymagic  #Orlandipo #PureMagic #nba #nbadraft #nbadraftlottery #overtime #ote https://t.co/hqdOKKcf1f","['spurs', 'GoSpursGo', 'SanAntonioSpurs', 'ItsBruinTime', 'wizards', 'Wiz50', 'DCFamily']",Twitter for iPhone
23,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 05:53:24+00:00,"Back at it ⚫️⚪️

#blazers #ncaa #kuhoops #nba #traeyoung #kevindurant #stephcurry #ncaabasketball #indianapacers #DetroitPistons #Pistons #DetroitBasketball #dallasmavs #GoMavs #DallasMavericks #LukaMagic https://t.co/TsRzJSTANw","['blazers', 'ncaa', 'kuhoops', 'nba', 'traeyoung', 'kevindurant', 'stephcurry', 'ncaabasketball', 'indianapacers']",Twitter for iPhone
24,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-09 05:52:19+00:00,"Back at it. 🍊✊

#lamelo #nba #ncaabasketball #laclippers #ncaa #kuhoops #celtics #traeyoung #blazers #kevindurant #chicagobulls #basketballneverstops #stephcurry #indianapacers #indianapacers #pacers  #losangeles https://t.co/cTvlhjKbLz","['lamelo', 'nba', 'ncaabasketball', 'laclippers', 'ncaa', 'kuhoops', 'celtics', 'traeyoung', 'blazers', 'kevindurant']",Twitter for iPhone
25,Love NBA,,NAB Fanbase,False,2022-10-09 04:20:02+00:00,"#Knicks INCREDIBLE 46 Point Second Quarter vs Indiana #Pacers
 
https://t.co/O5y8r4OWUM
 
#CentralDivision #EasternConference #ImmanuelQuickley #IndianaPacers #JalenBrunson #JuliusRandle #NBA #NbaHighlights #NewYorkKnicks #NyKnicks #ObiToppin #RjBarrett https://t.co/FuK9WxRPhB","['Knicks', 'Pacers', 'CentralDivision']",love.nba
26,Love NBA,,NAB Fanbase,False,2022-10-08 23:16:02+00:00,"RJ Barrett Reacts to Obi ...
 
https://t.co/xYD43eSCMe
 
#AtlanticDivision #Basketball #EasternConference #Indiana #IndianaPacers #KnicksPostgame #Msg #MsgNetworks #NBA #NBABasketball #NewYork #NewYorkKnicks #NewYorkKnicksBasketball #ObiToppin #Pacers #PacersBasketball https://t.co/QdypssdgKu","['AtlanticDivision', 'Basketball', 'EasternConference', 'Indiana']",love.nba
27,Love NBA,,NAB Fanbase,False,2022-10-08 22:57:02+00:00,"New York Knicks vs Indiana Pacers ...
 
https://t.co/7HW01FUVVJ
 
#CamReddish #CentralDivision #EasternConference #IndianaPacers #JalenBrunson #JuliusRandle #KNicksGame #KnicksHighlights #KnicksPreseason2022 #KnicksVsPacersPreseasonGame #MitchellRobinson #NewYorkKnicks https://t.co/kwNer4fjQr","['CamReddish', 'CentralDivision', 'EasternConference']",love.nba
28,Love NBA,,NAB Fanbase,False,2022-10-08 20:13:02+00:00,"Indiana Pacers Highlights at New York Knicks | October 07, 2022
 
https://t.co/SueLLB7eNB
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/sOD6lyTJWr",['CentralDivision'],love.nba
29,Love NBA,,NAB Fanbase,False,2022-10-08 17:45:02+00:00,"Obi Toppin Puts On a Show as #Knicks Beat #Pacers 131-114 | New York #Knicks
 
https://t.co/nb1NAIZB9H
 
#AtlanticDivision #Basketball #EasternConference #Indiana #IndianaPacers #Msg #MsgNetworks #NBA #NBABasketball #NewYork #NewYorkKnicks #NewYorkKnicksBasketball #Sports https://t.co/b4m4LTYPX9","['Knicks', 'Pacers', 'Knicks']",love.nba
30,Love NBA,,NAB Fanbase,False,2022-10-08 17:19:02+00:00,"Indiana Pacers Postgame Media Availability (New York Knicks) | October 7, 2022
 
https://t.co/IUVV9M6cbP
 
#CentralDivision #EasternConference #IndianaPacers https://t.co/ILxdxn3TLJ",,love.nba
31,Love NBA,,NAB Fanbase,False,2022-10-08 14:20:03+00:00,"Indiana Pacers vs New York Knicks Full Game Highlights | Oct 7 | 2022 NBA Preseason
 
https://t.co/hMXqHM8VEq
 
#CentralDivision #EasternConference #IndianaPacers #KnicksVsPacers #NbaHighlights #NBAPlayoffs #PacersVsKnicks https://t.co/moYMviRrcO",,love.nba
32,Love NBA,,NAB Fanbase,False,2022-10-08 11:19:03+00:00,"PACERS at KNICKS | #NBA PRESEASON FULL GAME HIGHLIGHTS | October 6, 2022
 
https://t.co/rb8JcD9zp0
 
#Basketball #CentralDivision #EasternConference #GLeague #Game0012200030 #IndianaPacers https://t.co/FcZprUkTvW","['NBA', 'Basketball']",love.nba
33,Love NBA,,NAB Fanbase,False,2022-10-08 08:47:01+00:00,"New York Knicks Vs Indiana Pacers ...
 
https://t.co/STzXU7mKJk
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #CentralDivision #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #IndianaPacers #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson https://t.co/h1zKF7wBAZ","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
34,MarinoTR,Cargando... ,"Sports Digest 
Estadísticas de los jugadores de baloncesto Dominicano 
#RDenNBA🏀🇩🇴
#RDenNCAA🏀🇩🇴
#RDenEUROPA🏀🇩🇴
#RDenSurAmérica🏀🇩🇴
🏀🏐⚽🏎️🏁",False,2022-10-08 07:25:03+00:00,"🔴#NBAPreSeason🏀🇺🇲
⬇️#IndianaPACERS 114 (1-1)🔸
⬆️#NewYorkKNICKS 131 (2-0)
🔶Chris DUARTE🇩🇴
(SG/6'5""/190Lbs)
🔹11/Pts
🔹5/Reb
🔹3/Ast
🔹0/Stl
🔹2/Blk
🔹1/TO
🔹2/3T2
🔹2/4T3
🔹1/1TL
🔹20:34/min:seg
@C_Duarte5
@Pacers
#RDenNBA
#DominicanosEnNBA
#MaTR®","['NBAPreSeason', 'IndianaPACERS', 'NewYorkKNICKS']",Twitter Web App
35,Love NBA,,NAB Fanbase,False,2022-10-08 06:06:02+00:00,"New York Knicks Vs Indiana Pacers ...
 
https://t.co/cFc1mbvqBT
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #CentralDivision #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #IndianaPacers #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson https://t.co/CjzQpnJd9G","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
36,Love NBA,,NAB Fanbase,False,2022-10-07 22:44:02+00:00,"Victor Wembanyama vs Scoot Henderson | NBA GMs thoughts on Indiana #Pacers | #Pacers-Knicks preview
 
https://t.co/P6xDZv5fGp
 
#CentralDivision #EasternConference #IndianaBasketball #IndianaPacers #IndianaPacersPodcast #NBABasketball #PacersBasketball #PacersPodcast https://t.co/SzWLR6uyoE","['Pacers', 'Pacers']",love.nba
37,Love NBA,,NAB Fanbase,False,2022-10-07 16:11:02+00:00,"Indiana Pacers - Ryan Carr, Pacers VP of Player Personnel, talks draft - says shelf is seven deep!
 
https://t.co/xdTIZfd9sw
 
#CentralDivision #EasternConference #IndianaHoosiers #IndianaPacers #IndianapolisColts #IndianapolisSports https://t.co/l7hQpmaRBV",,love.nba
38,Hat Crawler,,Crawling 300+ sites for new hat drops so you don’t have to. Links ⬇,False,2022-10-07 13:59:44+00:00,"INDIANA PACERS 59FIFTY CLASSIC now available from HANGTIMEINDY

#newdrop #hangtimeindy #indianapolis #nba #indianapacers #pacers #indiana #59fifty #classic #hatcrawler #fitted #neweracaps #newerafitted #hataddict

https://t.co/B8yKFXRXOV","['newdrop', 'hangtimeindy', 'indianapolis', 'nba']",HatCrawler
39,Hat Crawler,,Crawling 300+ sites for new hat drops so you don’t have to. Links ⬇,False,2022-10-07 13:59:44+00:00,"INDIANA PACERS 59FIFTY CLASSIC now available from HANGTIMEINDY

#newdrop #hangtimeindy #indianapolis #nba #indianapacers #pacers #indiana #59fifty #classic #hatcrawler #fitted #cap #fittedheads #thisisthecap #wearyourallegiance

https://t.co/KqXWqPrTwH","['newdrop', 'hangtimeindy', 'indianapolis', 'nba']",HatCrawler
