,user_name,user_location,user_description,user_verified,date,text,hashtags,source
468,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:51:51+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fsgsg",,Twitter Web App
469,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:51:47+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fsgvsg",,Twitter Web App
470,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:51:44+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fxgvfx",,Twitter Web App
471,Live Sports Go,,"Welcome To All Sports Live Stream
Join All Sports Live Stream !!",False,2022-09-30 12:51:41+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/JR03JcRpJ5
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/JR03JcRpJ5

#Goldenstatewarriors #vs #washingtonwizards https://t.co/j59yBK3Jst",,Twitter Web App
472,KHOZA HOPE,"Pretoria, South Africa","■Punter⚽️🏀⚾️□
■ Kaizer chiefs 💛□
■ Real Madrid🤍□
■whatever you do,don't choose Laziness 💵
■ Golden State Worriers 🏀□
■Lewis Hamilton 🏎□",False,2022-09-30 12:48:30+00:00,"#NBA2K23 
#preseason
@warriors 
#GoldenStateWarriors 
With that being said, the NBA is back🔥🔥🔥🏀🏀🏀 https://t.co/sa5GJFyV6W","['NBA2K23', 'preseason', 'GoldenStateWarriors']",Twitter for Android
473,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:58+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
54fdg",,Twitter Web App
474,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:35+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
fdgd https://t.co/yTzD62Ele7",,Twitter Web App
475,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:28+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards https://t.co/VBjrhW782D",,Twitter Web App
476,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:20+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
sdg",,Twitter Web App
477,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:13+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
dfg56",,Twitter Web App
478,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:47:11+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards

fg5df",,Twitter Web App
479,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:41+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
d4",,Twitter Web App
480,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:46:39+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fsf",,Twitter Web App
481,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:39+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards https://t.co/dxBcdvJLpc",,Twitter Web App
482,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:46:33+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fsfs",,Twitter Web App
483,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:31+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards

fg5",,Twitter Web App
484,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:46:29+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
sfsz",,Twitter Web App
485,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:28+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
ff",,Twitter Web App
486,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:26+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
dfg54",,Twitter Web App
487,Live Stream Sports,united states,"Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games .",False,2022-09-30 12:46:24+00:00,"Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/4qfqeFDf9j

#Goldenstatewarriors #vs #washingtonwizards
fsdf",,Twitter Web App
488,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:23+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
xgdf",,Twitter Web App
489,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:21+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
54",,Twitter Web App
490,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:19+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
fgd",,Twitter Web App
491,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:16+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
dfhg",,Twitter Web App
492,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:07+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
r5",,Twitter Web App
493,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:05+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
dfgd",,Twitter Web App
494,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:46:03+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards
fgdf",,Twitter Web App
495,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:45:58+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards",,Twitter Web App
496,GGG Boxing,Anfield,"Official Twitter account of Liverpool Football Club 🔴 Stop The Hate, Report It. #RedTogether ✊",False,2022-09-30 12:45:56+00:00,"warriors vs wizards Game Live
Golden state warriors vs washington wizards Live
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX
🔴🅻🅸🆅🅴 LINK🔴✅►https://t.co/7n8mLyEHCX

#Goldenstatewarriors #vs #washingtonwizards

fdg",,Twitter Web App
497,Mrs. Beamer,,,False,2022-10-04 20:33:57+00:00,Today grade 6 students @svdptiger joined learners from around the world to listen to Stephen Curry discuss his new book “I Have a Superpower!” The students were inspired by his experience with overcoming criticism and doubt with hard work and heart. #StephenCurry30 #penguinclass https://t.co/fkPvDzHkv2,,Twitter for iPhone
498,Curryburner,,Curry Is The Greatest In NBA. #Curry,False,2022-10-03 09:53:53+00:00,"• @splash__wrld Chef curry 💍
_

#stephgonnasteph #stephencurry #stephcurry30 #stephencurry30 #stepback #stephcurry #splashbrothers #currybrand #jasontatum #kevindurant #jamorant #klaythompson #klaythompson11 #jordanpoole #curry9 #nbareels #reels #nba https://t.co/ey7tHULlWh","['stephgonnasteph', 'stephencurry', 'stephcurry30', 'stephencurry30', 'stepback', 'stephcurry']",Twitter for iPhone
499,mnbreaks | Michael,"North Carolina, USA","Sports card collecting and product openings and reviews | PC Steph Curry, Klay Thompson, Warriors, TB12, Patriots. And getting into the NFT world. Let’s go",False,2022-10-02 13:44:11+00:00,"Just pulling a few Curry Rookie Cards

#sportscards #dubnation #thehobby #whodoyoucollect #StephenCurry30 @YouTube @YouTubeCreators

https://t.co/0eZnnPKFx8","['sportscards', 'dubnation', 'thehobby', 'whodoyoucollect', 'StephenCurry30']",Twitter for iPhone
500,⟭⟬ BTS⁷ 💜ButterTo1B💜(slow),"California, USA","Fan acct, love church, family, friends, and BTS forever!",False,2022-09-30 22:49:29+00:00,"@NBAJPN @lsgrlr @StephenCurry30 @BTS_twt I'm happy for both, they are so fine young men!
#StephenCurry30 
#NBAJapanGames 
#SUGAatNBAJapan 
@BTS_twt",['StephenCurry30'],Twitter for Android
501,btsrks,,,False,2022-09-30 15:09:51+00:00,@420JOON A special moment Suga will always treasure !! Stephen Curry is very kind &amp; loves BTS!!! #SUGABTS #stephencurry30 #SUGAatNBAJapan,"['SUGABTS', 'stephencurry30', 'SUGAatNBAJapan']",Twitter for iPhone
502,Oh! Sports,Philippines,Oh! Sports PH is an official page of sports update and anything you need to know around the industry.,False,2022-09-30 10:00:02+00:00,"BTS x GSW?

Read more at https://t.co/KQLhwsL1kp

Like and follow Oh Sports PH for more!

#NBA #entertainmentnews #BTS #army #SUGA #Ohsports #GoldenStateWarriors #StephenCurry30 #basketball #sports #news #fypシ #SportsNews https://t.co/I2UzfMEJkG","['NBA', 'entertainmentnews']",Twitter Web App
503,A Deniz Ekşioğlu,Istanbul ,' يهمني صوتك في آخر يومي،   يهمني سؤالك، يهمني سكوتك، يهمني ردّك،. يهمني قلبك، ويهمني البقاء مَعك وإليك,False,2022-09-30 09:09:16+00:00,"〰️❤️‍🔥🏀🔗🎦〰️  😜 CUTENESS OVERLOAD ( love U back !..) 

#StephenCurry30 meets a future hooper! #NBAJapanGames #NBA #Warrior https://t.co/bD6YUChMrc https://t.co/AJPNvmkZBi","['StephenCurry30', 'NBAJapanGames', 'NBA']",Twitter for iPhone
504,Sun Ray,,,False,2022-09-30 05:05:56+00:00,"@NBAJPN @StephenCurry30 @BTS_twt Did some little research on #StephenCurry30 and was happy to know he was a Christian. 
     I like how two men from different cultural and spiritual places can respectfully interact with each other. 
     Pretty awesome, if you ask me.",['StephenCurry30'],Twitter Web App
505,Dominick Kasza,,,False,2022-09-30 06:32:30+00:00,"@Money23Green Draymond Green is a GOAT in his own right. A Hall of Famer, yesterday! #Champion #DubNation #Money23Green","['Champion', 'DubNation', 'Money23Green']",Twitter Web App
506,Love NBA,,NAB Fanbase,False,2022-10-07 02:38:02+00:00,"Orlando Magic vs San Antonio Spurs FULL ...
 
https://t.co/4QgvahrVi4
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson #KyrieIrving #LebronJames https://t.co/50bvjR0KtR","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
507,DThorn Digital 💻,,Follow Me For Daily News & Updates 📰,False,2022-10-06 17:58:56+00:00,#DraymondGreen Punched #JordanPoole ‼️🤬**SUSPENDED** 🤯 ↪️https://t.co/x43ns7rqEf👈👀 #fight #punch #breakingnews #nbanews #warriors #GoldenStateWarriors #stevekerr #DubNation #nba #nba2k23 #skipbayless #stephenasmith #woj #shannonsharpe #stephcurry #klaythompson #lebron #lakers https://t.co/IT1dJZSXX9,"['DraymondGreen', 'JordanPoole', 'fight', 'punch', 'breakingnews']",Twitter for Android
508,Planetoverse NFT,,"||   A collection of Different planet Varients and each NFTs have some unique characteristics.   ||

https://t.co/igvQHh84zZ",False,2022-10-06 17:49:34+00:00,"😲❗❗...

NBA Superstar #KlayThompson Launches #NFTs Collection With Amino.

#NationalNoodleDay #Blockchain #Etherum #cryptocurrecy","['KlayThompson', 'NFTs', 'NationalNoodleDay', 'Blockchain', 'Etherum', 'cryptocurrecy']",Twitter for Android
509,Pulse,,"MUSIC STREAMING THAT PAYS

Revolutionary Social Media Discovery App

⊙ Discover
⊚ Curate
⦾ Share
⦿ Engage

Metaverse 💻 Coming Soon
NFTs 📸 Coming",False,2022-10-06 16:00:01+00:00,Amino is launching a collection of non-fungible tokens (#NFTs) celebrating the fourth championship of basketball player #KlayThompson and the #GoldenStateWarriors. https://t.co/AKUQWGA1C5,['NFTs'],Twitter Web App
510,Game Of Life,"Atlanta, GA",G.O.L. focuses on NBA/Sports stats and news. Follow me on my YouTube Channel 👇,False,2022-10-06 14:07:10+00:00,"There's no guarantee Klay Thompson will be ready for the start of the season, according to Steve Kerr. #klaythompson #SteveKerr #NBA https://t.co/J9XdqFVhVu",,Twitter for iPhone
511,GIGICAPONEPR,"San Francisco, CA","Retired music publicist turned insurance agent. Ask me about Medicare, life or supplementing costs and services insurance doesn't normally cover.",False,2022-10-06 13:54:11+00:00,News: #Basketball #News #Sports #goldenstatewarriors #KlayThompson Klay Thompson Shares DM From Lil Uzi Vert https://t.co/etfijCufSg Via @Hottnewhiphop https://t.co/fH9jyGItqG,"['Basketball', 'News', 'Sports', 'goldenstatewarriors', 'KlayThompson']",dlvr.it
512,👕Maillot de foot à 15€,,"Maillot de foot à partir de 15€  sur notre site!
Expedition rapide",False,2022-10-06 12:04:03+00:00,"⚽|New #GSW 2022 #KlayThompson 1⃣1⃣
Au prix incroyable de 2⃣1⃣€
🛒https://t.co/s2nDjh1HJW https://t.co/dy75ZOZUKx","['GSW', 'KlayThompson']",TweetDeck
513,Love NBA,,NAB Fanbase,False,2022-10-06 11:50:02+00:00,"New Orleans Pelicans vs ...
 
https://t.co/eFLBBuR5WO
 
#CentralDivision #ChicagoBulls #EasternConference #JonathanKuminga #KlayThompson #LebronJames #NbaGameToday #NbaHighlight #NbaHighlightGame #STEPHENCURRY #TopNba #Warriors #WarriorsGameHighlight #WarriorsHighlight https://t.co/t0RxLzGhTP","['CentralDivision', 'ChicagoBulls', 'EasternConference']",love.nba
514,Love NBA,,NAB Fanbase,False,2022-10-06 11:28:02+00:00,"Caleb Houstan Is Not Your Typical ...
 
https://t.co/aKnePaArnr
 
#2022nbadraft #CalebHoustan #FranzWagner #JeffWeltman #KlayThompson #NBADraftanalysis #Orlandomagicdraft #paolobanchero #Basketball #CalebHoustan #EasternConference #Giannis #Lebron #MagicTogether #NBA https://t.co/Ou2qjQdxdN","['2022nbadraft', 'CalebHoustan', 'FranzWagner']",love.nba
515,Love NBA,,NAB Fanbase,False,2022-10-06 08:26:02+00:00,"Dallas Mavericks vs Oklahoma City Thunder ...
 
https://t.co/RUWFlhGzw3
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #ChrisPaul #DallasMavericks #DamianLillard #DevinBooker #Giannis #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson #KyrieIrving #LebronJames https://t.co/gQnjVEVifm","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
516,Antosports,,Anta Sports Keep Moving！,False,2022-10-06 05:55:01+00:00,"Anta Men's Klay Thompson Kt7 “Course” Basketball Shoes 
🛒🛒 https://t.co/OYyrHGYKiD

#course #anta #antashoes #klaythompson #antaklaythompson #antakt7 #kt7 #antasports #antabasketballshoes https://t.co/4gY7XtssZ6","['course', 'anta', 'antashoes']",Twitter for iPhone
